Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.529993726614458,-0.186441381563561,-0.00936699784472195,0,0,0,16.7027966650362,1.16831503400653,7.89722873250628E-07,1.48320613359242E-06,2.396915631753,0.0106059785382614,3.5540378350848,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/base_link.STL,0.2,0.4,0.694117647058824,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/base_link.STL,,x-trainer_asm-0226.stp-1/BASE_1.stp-1;x-trainer_asm-0226.stp-1/LEFT_ASM.stp-1/BASE_LEFT.stp-1;x-trainer_asm-0226.stp-1/RIGHT_ASM.stp-1/BASE.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_1__ASM.stp-1/BASE-PART1_2_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_1__ASM.stp-1/BASE-PART2_2_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_1__ASM.stp-1/BASE-PART3_2_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_1__ASM.stp-1/BASE-PART4_2_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_AS_ASM.stp-1/BASE-PART1_2_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_AS_ASM.stp-1/BASE-PART2_2_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_AS_ASM.stp-1/BASE-PART3_2_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/BASE_ASM_6_ASM_1_ASM_1_ASM_1_AS_ASM.stp-1/BASE-PART4_2_1_1_1_1.stp-1,J1-0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
J1-1,-2.00100988057006E-07,-0.021871021005788,-0.0236237987331687,0,0,0,0.803381596273923,0.00167953529900133,1.47067983775821E-07,6.67826003947778E-08,0.00146965644822024,0.000442019784443742,0.00103706681305504,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-1.STL,1,1,1,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-1.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J1_ASM_5_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J1-PART1_2_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J1_ASM_5_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J1-PART2_2_1_1_1_1.stp-1,J1-1,A1-1,J1-1,revolute,0,0,0.2234,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
J1-2,-6.6838105265421E-06,-0.150327498764621,0.0931452110637109,0,0,0,1.57815566164452,0.0216386450576497,2.51179915582132E-07,6.28231733509127E-08,0.00156668065572768,-0.0011524142998259,0.0217352545085839,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-2.STL,1,1,1,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-2.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J2_ASM_5_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J2-PART1_2_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J2_ASM_5_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J2-PART2_2_1_1_1_1.stp-1,J1-2,A1-2,J1-2,revolute,0,0,0,-1.5708,0,3.1416,J1-1,0,0,1,0,0,0,0,,,,,,,,
J1-3,-3.18972549662178E-06,0.118192894117175,0.0113245703492338,0,0,0,0.999485676814869,0.00939462465764145,-7.91620847391581E-08,6.69640335695396E-08,0.00077622136547254,-0.000541048370891956,0.0094132706876052,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-3.STL,0.196078431372549,0.356862745098039,1,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-3.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J3_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J3-PART1_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J3_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J3-PART2_1_2_1_1_1.stp-1,J1-3,A1-3,J1-3,revolute,0,-0.28,0,0,0,1.5708,J1-2,0,0,-1,0,0,0,0,,,,,,,,
J1-4,2.54237573060756E-06,-0.0226616159266426,0.0204571825003232,0,0,0,0.441710014889936,0.000641226608562858,-9.37728572157298E-09,3.16081308388047E-08,0.000455414787276782,-0.000213281727224262,0.000482761275195032,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-4.STL,1,1,1,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-4.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J4_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J4-PART1_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J4_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J4-PART2_1_1_1_1_1.stp-1,J1-4,A1-4,J1-4,revolute,0,0.225,0.1175,3.1416,0,0,J1-3,0,0,1,0,0,0,0,,,,,,,,
J1-5,-2.36894587862801E-06,0.00154601511264918,-0.00760521866755398,0,0,0,0.585231261599067,0.000669255858052445,6.81212175293182E-09,9.10129684025667E-09,0.000406705097116426,-0.000120917905923224,0.000644869458239221,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-5.STL,1,1,1,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-5.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J5_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J5-PART1_1_2_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J5_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J5-PART2_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J5_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J5-PART3_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J5_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J5-PART4_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J5_ASM_3_ASM_2_ASM_1_ASM_1_ASM__ASM.stp-1/J5-PART5_1_1_1_1_1.stp-1,J1-5,A1-5,J1-5,revolute,0,-0.12,0,1.5708,1.5708,0,J1-4,0,0,1,0,0,0,0,,,,,,,,
J1-6,8.60696284007423E-05,-0.00934454248929184,0.0193770950289183,0,0,0,0.328138288054857,0.000135002943634936,-6.96146015992339E-07,-2.17465458696384E-07,0.000308010129624559,1.26140324590762E-06,0.0003638918328489,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-6.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/DUOJI_1_1_2_ASM.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010760_9_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010754_8_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/5-19000_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/5-19000_1_1_1.stp-2;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010756_4_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010757_4_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010758_2_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010758_2_1_1.stp-2;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3201005225_2_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3201005225_2_1_1.stp-2;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3201005225_2_1_1.stp-3;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3201005225_2_1_1.stp-4;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/XIANGJI_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J6-PART1_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/J6-PART3_1_1_1_1_1.stp-1,J1-6,A1-6,J1-6,revolute,0,0.087743,0,-1.5708,0,0,J1-5,0,0,1,0,0,0,0,,,,,,,,
J1-7,0.0239999789062339,0.00419456849348676,0.0134416427781024,0,0,0,0.0552137973288012,2.23596084937361E-05,3.09535831994453E-12,3.86483071715472E-12,1.18268170838755E-05,-3.78191872149716E-06,2.90259575141458E-05,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-7.STL,0.2,0.4,0.694117647058824,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-7.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/_500_1_1_1.stp-4;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010755_7_1_1.stp-2;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010759_4_1_1.stp-2;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/_500_1_1_1.stp-1,J1-7,A1-7,J1-7,prismatic,-0.0625,-0.024005,0.11568,1.5708,0,1.5708,J1-6,0,0,-1,0,0,0,0,,,,,,,,
J1-8,0.024000021114731,-0.00419456849973843,0.0134416427879565,0,0,0,0.0552137973963911,2.23596085035426E-05,3.08591648111302E-12,-3.87486938285212E-12,1.18268171101062E-05,3.78191871716719E-06,2.902595754071E-05,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-8.STL,0.2,0.4,0.694117647058824,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J1-8.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/_500_1_1_1.stp-3;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010755_7_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/3202010759_4_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU2_ASM.stp-1/J6_ASM_3_ASM_1_ASM_1_ASM_1_ASM__ASM.stp-1/ASM0003_ASM.stp-1/000-0001_ASM_14_ASM_1_1_ASM.stp-1/_500_1_1_1.stp-2,J1-8,A1-7,J1-8,prismatic,0.0625,-0.024005,0.11568,-1.5708,0,1.5708,J1-6,0,0,1,0,0,0,0,,,,,,,,
J2-1,-2.00100824909732E-07,-0.0218710210063158,-0.0236237987336299,0,0,0,0.80338159626503,0.00167953529900055,1.47067985687155E-07,6.67826008472067E-08,0.00146965644822114,0.000442019784443866,0.001037066813059,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J2-1.STL,1,1,1,1,0,0,0,0,0,0,package://x-trainer_asm-0226.SLDASM/meshes/J2-1.STL,,x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU_ASM.stp-1/J1_ASM_5_ASM_1_ASM_1_ASM_1_1_AS_ASM.stp-1/J1-PART1_2_1_1_1_1_1.stp-1;x-trainer_asm-0226.stp-1/NOVA2_CONGSHOU_ASM.stp-1/J1_ASM_5_ASM_1_ASM_1_ASM_1_1_AS_ASM.stp-1/J1-PART2_2_1_1_1_1_1.stp-1,J2-1,A2-1,J2-1,revolute,1.06,0,0.2234,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
