Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0431486993145529,0.000480221555629434,0.0725779896230238,0,0,0,23.9242561932401,0.159621980335179,-0.000244760041785608,-0.000690475768722855,0.198884760617298,4.62945006261573E-05,0.331039165876524,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/base_link.STL,,HAD2503-B01-1,base_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_left_fixed_wheel_link,-0.0046352078526396,5.55644672142197E-05,-0.0580306648652052,0,0,0,0.79912707578221,0.000332648078743638,-1.95220229929276E-08,-9.85365946657198E-06,0.000433611077352629,1.85771116801764E-12,0.000346938873820102,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/front_left_fixed_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/front_left_fixed_wheel_link.STL,,脚轮组件-2;辅助轮-3,front_left_fixed_joint,front_left_fixed_wheel_link,front_left_fixed_wheel_joint,fixed,0.147500013335035,0.157499987510131,0.0845000007000286,0,0,0,base_link,0,0,0,,,,,,,,,,,,
front_right_fixed_wheel_link,-0.00463520785263949,5.55644672102229E-05,-0.0580306648652052,0,0,0,0.79912707578221,0.000332648078743639,-1.95220231066457E-08,-9.85365946657205E-06,0.00043361107735263,1.85771116829194E-12,0.000346938873820103,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/front_right_fixed_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/front_right_fixed_wheel_link.STL,,脚轮组件-1;辅助轮-4,front_right_fixed_wheel_joint,front_right_fixed_wheel_link,front_right_fixed_wheel_joint,fixed,0.147499986661774,-0.15750001248987,0.0845000007000068,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_left_fixed_wheel_link,-0.00463520785263949,5.55644672135536E-05,-0.0580306648652056,0,0,0,0.799127075782211,0.000332648078743638,-1.95220229930445E-08,-9.85365946657194E-06,0.00043361107735263,1.85771113723366E-12,0.000346938873820103,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/back_left_fixed_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/back_left_fixed_wheel_link.STL,,脚轮组件-4;辅助轮-1,back_left_fixed_wheel_joint,back_left_fixed_wheel_link,back_left_fixed_wheel_joint,fixed,-0.147499986664964,0.157500012489855,0.0845000007000353,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_right_fixed_wheel_link,-0.00463520785263949,5.55644672093347E-05,-0.0580306648652053,0,0,0,0.799127075782211,0.00033264807874364,-1.95220231067526E-08,-9.85365946657194E-06,0.000433611077352632,1.85771113797237E-12,0.000346938873820104,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/back_right_fixed_wheel_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/back_right_fixed_wheel_link.STL,,脚轮组件-3;辅助轮-2,back_right_fixed_wheel_joint,back_right_fixed_wheel_link,back_right_fixed_wheel_joint,fixed,-0.147500013338228,-0.157499987510144,0.0845000007000131,0,0,0,base_link,0,0,0,,,,,,,,,,,,
ankle_pitch_link,0.000198145941429639,0.00069874734924702,0.185317643833653,0,0,0,4.18881389336083,0.0139082452104621,4.56545137286107E-06,-5.27355487891661E-05,0.0146264889298969,1.08400333080384E-05,0.00389078584642025,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/ankle_pitch_link.STL,,HAD2503-BY020101-1;HAD2503-BY020201-1,ankle_pitch_joint,ankle_pitch_link,ankle_pitch_joint,revolute,0,0,0.2035,0,0,0,base_link,0,1,0,300,3.14,-0.174,2.09,,,,,,,,
knee_pitch_link,0.00209345798597615,1.20410933917015E-05,0.152580729188014,0,0,0,3.09151175511614,0.031494722232863,4.86363052776567E-08,0.000338695402933721,0.0348604959000732,1.44393331471752E-06,0.00509267066454152,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/knee_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/knee_pitch_link.STL,,HAD2503-BY020102-1;HAD2503-BY020202-1,knee_pitch_joint,knee_pitch_link,knee_pitch_joint,revolute,0,0,0.223,0,0,0,ankle_pitch_link,0,1,0,300,3.14,-1.57,0.034,,,,,,,,
hip_pitch_link,-0.00110301399937163,3.49877559524536E-06,0.0231584652127549,0,0,0,4.6288053083787,0.00720268812021052,-1.54359305379863E-06,-6.75076402478864E-05,0.00515678049854281,5.36733731148581E-07,0.0074079736254059,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/hip_pitch_link.STL,,HAD2503-BY020301-1,hip_pitch_joint,hip_pitch_link,hip_pitch_joint,revolute,0,0,0.306,0,0,0,knee_pitch_link,0,1,0,300,3.14,-0.034,1.57,,,,,,,,
waist_yaw_link,4.92274481389554E-05,-0.00405428011633191,0.0794803290130745,0,0,0,0.429597973620962,0.000906680731450173,-7.75390127252637E-08,7.03347204130672E-07,0.00100855985116289,2.69802989186841E-05,0.000989582363388406,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/waist_yaw_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/waist_yaw_link.STL,,HAD2503-BY020302-1/HAD2503-B020307Z-02-1,waist_yaw_joint,waist_yaw_link,waist_yaw_joint,revolute,0,0,0.050995,0,0,0,hip_pitch_link,0,0,1,300,3.14,-2.79,2.79,,,,,,,,
waist_pitch_link,0.00535301038882385,0.000438825920378028,0.0820858976549168,0,0,0,1.82229673280023,0.00265959540319473,-1.55944634198761E-05,-2.89702489443033E-05,0.00264468570177,-0.000359802097530043,0.0022403135392328,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/waist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HAD2503-D-DEX1/meshes/waist_pitch_link.STL,,HAD2503-BY020303-1,waist_pitch_joint,waist_pitch_link,waist_pitch_joint,revolute,0,0,0.0985,0,0,0,waist_yaw_link,0,1,0,300,3.14,-0.174,1.57,,,,,,,,
